rank|name|revenue|industry|employees|founded|growth|city|state
3995|Executive Speakers Bureau|7.4|Business Products & Services|12.0|1993.0|71|Germantown|TN
3996|ej4|6.6|Business Products & Services|36.0|2004.0|71|St. Louis|MO
3997|Cold Jet|67.3|Manufacturing|217.0|1986.0|71|Loveland|OH
3998|Pacific Design Directions|15.0|Construction|25.0|1979.0|71|Anaheim Hills|CA
3999|Phillips Edison & Company|488.7|Software|281.0|1991.0|71|Cincinnati|OH
4000|EXCLUSIVE Concepts|7.9|Advertising & Marketing|58.0|1997.0|71|Burlington|MA
4001|AE Marketing Group|2.3|Advertising & Marketing|7.0|2011.0|71|Chicago|IL
4002|K & P Enterprises|4.1|Construction|16.0|2012.0|71|Knoxville|TN
4003|Ingo Money|23.2|Financial Services|173.0|2001.0|71|Roswell|GA
4004|HRST|15.1|Energy|49.0|1998.0|70|Eden Prairie|MN
4005|Cashbloom|5.4|Financial Services|18.0|2008.0|70|Studio City|CA
4006|PRK Drilling & Blasting|11.5|Construction|45.0|1989.0|70|winchester|VA
4007|FreeConference.com|4.7|Telecommunications|28.0|2004.0|70|Los Angeles|CA
4008|Intelliswift Software|70.3|IT Services||2001.0|70|Newark|CA
4009|Mack Packaging, Powered by Proforma|4.1|Business Products & Services|13.0|2011.0|70|San Marcos|CA
4010|Disc Store|2.9|Retail|16.0|2008.0|70|Omaha|NE
4011|Compass IT Compliance|2.5|IT Services|10.0|2010.0|70|North Providence|RI
4012|Millennium Surgical|12.8|Health|21.0|1994.0|70|Narberth|PA
4013|Blue Magnet Interactive Marketing & Media|2.0|Advertising & Marketing|25.0|2007.0|70|Chicago|IL
4014|Ellison Bakery|31.1|Food & Beverage|130.0|1945.0|70|Ft Wayne|IN
4015|Network Computing Group|2.2|IT Services|15.0|1994.0|70|Roanoke|VA
4016|Network Capital|45.0|Financial Services|500.0|2002.0|70|Irvine|CA
4017|ISGF|8.7|IT Services|98.0|1996.0|70|Orlando|FL
4018|EKR|6.6|Advertising & Marketing|76.0|2001.0|70|Provo|UT
4019|RSDCGroup|5.2|IT Services|34.0|2005.0|70|Arlington|VA
4020|Trexin Consulting|32.7|IT Services|114.0|2005.0|70|Minneapolis|MN
4021|AgileThought|35.4|Software|259.0|2004.0|70|Tampa|FL
4022|DEEMSYS|7.8|Education|62.0|2004.0|70|Gahanna|OH
4023|Jackrabbit Technologies|9.0|Software|48.0|2004.0|70|Huntersville|NC
4024|Itransition|21.5|Software|1511.0|1998.0|70|Denver|CO
4025|The Neiders Company|22.7|Real Estate|160.0|1987.0|70|Seattle|WA
4026|Freepoint Commodities|26011.7|Financial Services|329.0|2011.0|70|Stamford|CT
4027|IMS Technology Services|27.4|Business Products & Services|94.0|1994.0|70|Garnet Valley|PA
4028|Foundation Technologies|5.3|IT Services|19.0|2000.0|70|Minneapolis|MN
4029|Praetorian Digital|14.5|Media|101.0|1999.0|70|San Francisco|CA
4030|Thread|2.4|Human Resources|15.0|2003.0|70|Alpharetta|GA
4031|Gaspar Insurance Services|4.0|Insurance|37.0|2007.0|70|Woodland HIlls|CA
4032|Hanszen Laporte|4.8|Business Products & Services|22.0|1997.0|70|Houston|TX
4033|CONNECT Computer|4.0|IT Services|25.0|2004.0|70|Fairfield|CT
4034|Scorpion Coatings|8.2|Manufacturing|20.0|1996.0|69|Cloverdale|IN
4035|Netsync Network Solutions|198.5|IT Services|200.0|2012.0|69|Houston|TX
4036|Hawkins International PR|5.0|Travel & Hospitality|31.0|2002.0|69|New York City|NY
4037|Prestige Employee Administrators|996.7|Human Resources|11792.0|1998.0|69|Melville|NY
4038|Gibson International|21.7|Real Estate|22.0|2008.0|69|Los Angeles|CA
4039|MarksNelson|21.3|Business Products & Services|147.0|1968.0|69|Kansas City|MO
4040|Visual Computer Solutions|3.2|Software|19.0|1998.0|69|Freehold|NJ
4041|VeriStor Systems|81.0|IT Services|108.0|2001.0|69|Duluth|GA
4042|ArrowCore Group|5.2|IT Services|40.0|2012.0|69|Roswell|GA
4043|Wholesale Warranties|6.5|Insurance|20.0|2008.0|69|San Diego|CA
4044|IQMS|53.5|Software|312.0|1989.0|69|Paso Robles|CA
